Number,Name,Address,Latitude,Longitude
231,231 - KERSBEEK,KERSBEEK - AV KERSBEEK 107 / KERSBEEKLAAN 107,50.805801,4.3194
122,122 - GARE D'ETTERBEEK,GARE D'ETTERBEEK/STATION VAN ETTERBEEK - BOULEVARD GENERAL JACQUES/GENERAAL JACQUESLAAN,50.822207,4.389325
1,001 - LEOPOLD II,LEOPOLD II - AVENUE DE TERVUREN FACE / TERVURENLAAN VOOR 218,50.836304,4.41505
212,212 - THEO LAMBERT,THEO LAMBERT - BD THEO LAMBERT (FACE 66) / THEO LAMBERT LAAN (TEGENOVER 66),50.82701,4.292098
333,333 - TRACTEBEL,TRACTEBEL - AV MARCEL THIRY FACE AU N°93,50.856582,4.430988
184,184 - PHILIPPE BAUCQ,PHILIPPE BAUCQ - RUE PHILIPPE BAUCQ / PHILIPPE BAUCQSTRAAT 32 - 38,50.831592,4.385786
360,360 - STOCKEL/STOKKEL,STOCKEL/STOKKEL - AVENUE D'OPHEMLAAN 1-3,50.84157,4.46577
186,186 - GENOT,GENOT - CHAUSSEE DE GAND DEVANT 1033,50.861783,4.302607
167,167 - CHARLES V/KAREL V,CHARLES V/KAREL V - AVENUE CHARLES QUINT/KEIZER KARELLAAN 129-131,50.869032,4.309731
305,305 - PETER BENOIT,PETER BENOIT - PLACE PETER BENOIT PLAATS 2-4,50.895592,4.387965
50,050 - RIBAUCOURT,RIBAUCOURT - BLD LEOPOLD II / LEOPOLD II-LAAN 121-123,50.860862,4.339182
93,093 - CLOVIS,CLOVIS - CHAUSSEE DE LOUVAIN - LEUVENSESTEENWEG 260-264,50.850333,4.380461
274,274 - CORHAY,CORAY - CHEE DE GAND DEVANT 579-587 GENTSESTEENWEG VOOR 579-587,50.86002,4.307502
98,098 - CIMETIERE/KERKHOF,CIMETIERE/KERKHOF - BLD METTEWIE/METTEWIELAAN 40 INTERSECTION CHAUSSÉE DE GAND/GENTSESTEENWEEG,50.85904,4.312402
260,260 - TRITON,TRITON - AVENUE DES ANCIENS COMBATTANTS - PISCINE / OUD-STRIJDERSLAAN - ZWEMBAD,50.86702,4.406995
38,038 - JEU DE BALLE / VOSSENPLEIN,JEU DE BALLE/VOSSENPLEIN - RUE BLAES/BLAESSTRAAT 135-141,50.837912,4.347421
57,057 - MADOU/MADOU,MADOU - AVENUE DES ARTS/KUNSTLAAN 1-2,50.848712,4.369509
351,351 - ULB,ULB - AV BUYL CROISEMENT AV DE L'UNIVERSITE (DEVANT L'ULB),50.813724,4.384205
206,206 - SAINT-GUIDON / SINT GUIDO,SAINT GUIDON / SINT GUIDO - AV PAUL JANSON (FACE AU 34-28) / PAUL JANSONLAAN (TEGENOVER 34-28),50.834755,4.305962
228,228 - ALTITUDE CENT/HOOGTE HONDERD,ALTITUDE CENT / HOOGTE HONDERD - PLACE DE L'ALTITUDE 100 (FACE 31) / HOOGTE HONDERDPLEIN (TEGENOVER 31),50.816525,4.336212
178,178 - DIAMANT/DIAMANT,DIAMANT/DIAMANT - RUE COLONEL BOURG EN FACE 3,50.85043,4.402169
245,245 - HAMOIR,CHEE DE WATERLOO/WATERLOOSESTEENWEG 1050,50.798988,4.375581
99,099 - JUBILE,JUBILE - BOULEVARD DU JUBILE/ JUBELFEESTLAAN 79,50.864992,4.338431
358,358 - MADOUX,MADOUX - AVENUE DE TERVUREN FACE 403,50.82708,4.444795
242,242 - MAISON COMMUNALE D'UCCLE/UKKEL GEMEENTEHUIS,MAISON COMMUNALE D'UCCLE/UKKEL GEMEENTEHUIS - PLACE JEAN VANDER ELST / JEAN VANDER ELST PLEIN,50.803791,4.333321
200,200 - VETERANS COLONIAUX / KOLONIALE VETERANEN,VETERANS COLONIAUX / KOLONIALE VETERANEN - BD JULES GRAINDOR / JULES GRAINDORLAAN,50.843967,4.313537
181,181 - LOUIS TITZ,LOUIS TITZ - AVENUE DE LA CHASSE/ JACHTLAAN 182 - 184,50.835723,4.394395
158,158 - VAN YSENDIJCK,VAN YSENDIJCK - AVENUE VOLTAIRE (FACE 6) / VOLTAIRELAAN (TEGENOVER 6),50.867955,4.379577
161,161 - DEMOLDER,DEMOLDER - AVENUE EUGENE DEMOLDER / EUGENE DEMOLDERLAAN 68,50.872592,4.379886
347,347 - ERASME,ERASME - ROUTE DE LENNIK N°808,50.8149606388997,4.26542850805528
283,283 - PISCINE / ZWEMBAD,PISCINE / ZWEMBAD - RUE DE LOMBARTZYDE / LOMBARDSIJDESTRAAT,50.893158,4.376931
125,125 - GEORGES BRUGMANN,GEORGES BRUGMANN - PLACE GEORGES BRUGMANN/GEORGES BRUGMANNPLEIN N° 10 - 11,50.817392,4.354105
246,246 - GATTI DE GAMOND,GATTI DE GAMMOND - RUE DE STALLE PROLONGEE/STALLE STRAAT 160,50.796471,4.328415
140,140 - AZALEES/AZALEA,AZALEES / AZALEA -   AVENUE PAUL DESCHANEL/LAAN FACE/TEGENOVER N°  6-8,50.862704,4.381289
335,335 - THIRY,THIRY - BD DE LA WOLUWE DVT 100,50.854231,4.444034
279,279 - HOUBA BRUGMANN,HOUBA BRUGMANN - AVENUE HOUBA DE STROOPER / HOUBA DE STROOPERLAAN,50.890181,4.336962
12,012 - TRONE / TROON,TRONE/TROON - AVENUE MARNIX/MARNIXLAAN 30,50.840458,4.365981
18,018 - GUTENBERG / GUTENBERG,GUTENBERG - SQUARE GUTENBERG (FACE N° 5)/GUTENBERGSSQUARE (TEGENOVER N° 5),50.84771,4.377552
177,177 - CHASSEURS ARDENNAIS/ARDENSE JAGERS,CHASSEURS ARDENNAIS/ARDENSE JAGERSPLEIN - RUE DU NOYER 81-87 /NOTELAARSSTRAAT 81-87,50.849409,4.389263
175,175 - BEEKKANT,BEEKKANT - BOULEVARD EDMOND MACHTENS / EDMOND MACHTENSLAAN,50.854166,4.322948
308,308 - TIVOLI,TIVOLI - RUE DE MOLENBEEK CROISEMENT RUE DE WAUTIER/ KRUISPUNT MOLENBEEKSTRAAT-DE WAUTIERSTRAAT,50.872265,4.352158
350,350 - VERHEYLEWEGHEN,VERHEYLEWEGHEN - PLACE VERHEYLEWEGHEN DVT LES N°32-34,50.848184,4.425621
7,007 - PARC / PARK,PARC/PARK - RUE ROYALE  (FACE N°66-68)/KONINGSSTRAAT (TEGENOVER N°66-68),50.846319,4.362244
